,Model,Dataset,Accuracy,Precision,Recall,F1 Score,AUC,Kappa,MCC,Log Loss,Average Precision,Jaccard,Balanced Accuracy,Specificity,Geometric Mean,IBA,TP,TN,FP,FN (Type-2),CV Mean Score (10),CV Std Score (10),Training Time (s),Testing Time (s),Inference Time (s)
0,Decision Tree Classifier,Test Set,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2204460492503136e-16,1.0,1.0,1.0,1.0,1.0,1.2,102,82,0,0,71.78362573099415,8.570045250317527,0.00260162353515625,0.0008740425109863281,0.0003600120544433594
1,Random Forest Classifier,Test Set,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09847468471650016,1.0,1.0,1.0,1.0,1.0,1.2,102,82,0,0,84.7953216374269,8.462374252121512,0.7587201595306396,0.03621220588684082,0.014073610305786133
2,Gradient Boosting Classifier,Test Set,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03692185831213152,0.9999999999999998,1.0,1.0,1.0,1.0,1.2,102,82,0,0,81.66666666666667,10.877861074873218,0.23025989532470703,0.002890348434448242,0.0007855892181396484
3,Hist Gradient Boosting Classifier,Test Set,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06211415776889058,1.0,1.0,1.0,1.0,1.0,1.2,102,82,0,0,83.80116959064327,7.540458909803295,0.10714316368103027,0.006228208541870117,0.001966714859008789
4,Extra Trees Classifier,Test Set,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2204460492503136e-16,1.0,1.0,1.0,1.0,1.0,1.2,102,82,0,0,85.906432748538,8.561611220437523,0.17013907432556152,0.022960901260375977,0.008421897888183594
5,LightGBM Classifier,Test Set,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06404779362577076,1.0,1.0,1.0,1.0,1.0,1.2,102,82,0,0,83.77192982456141,8.356897022692383,0.10137629508972168,0.002988576889038086,0.0011222362518310547
6,Extreme Gradient Boosting Classifier,Test Set,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027706496071025134,1.0,1.0,1.0,1.0,1.0,1.2,102,82,0,0,83.21637426900585,7.388119959897911,13.300225973129272,0.010736703872680664,0.000926971435546875
7,Bagging Classifier,Test Set,0.9945652173913043,0.9902912621359223,1.0,0.9951219512195122,0.9998804399808704,0.9889873114675605,0.9890472887718502,0.08646182294525116,0.9998096325909005,0.9902912621359223,0.9939024390243902,0.9878048780487805,0.9938837346736189,1.184161213563355,102,81,0,1,80.49707602339181,12.693595055208002,0.029858112335205078,0.004373073577880859,0.0018684864044189453
8,Cat Boost Classifier,Test Set,0.9945652173913043,0.9902912621359223,1.0,0.9951219512195122,1.0,0.9889873114675605,0.9890472887718502,0.07892915653218589,1.0,0.9902912621359223,0.9939024390243902,0.9878048780487805,0.9938837346736189,1.184161213563355,102,81,0,1,86.43274853801171,6.616462240989278,1.755636215209961,0.007676362991333008,0.0016107559204101562
9,AdaBoost Classifier,Test Set,0.9456521739130435,0.9509803921568627,0.9509803921568627,0.9509803921568627,0.9949784791965567,0.8900047824007652,0.8900047824007652,0.6315390169794516,0.9960979287380985,0.9065420560747663,0.9450023912003825,0.9390243902439024,0.9449834828604177,1.0617700349085522,97,77,5,5,82.10526315789475,6.849598535870234,0.24477481842041016,0.048116207122802734,0.019869089126586914
10,Quadratic Discriminant Analysis,Test Set,0.8967391304347826,0.9108910891089109,0.9019607843137255,0.9064039408866995,0.9607843137254901,0.7912586577501791,0.7913064148052003,0.3048981740948339,0.97209325413005,0.8288288288288288,0.896102343376375,0.8902439024390244,0.89608319283112,0.9468728679606823,92,73,10,9,84.26900584795321,7.694893194821482,0.0016376972198486328,0.0009086132049560547,0.000308990478515625
11,Gaussian Process Classifier,Test Set,0.8858695652173914,0.8857142857142857,0.9117647058823529,0.8985507246376812,0.9385461501673841,0.7681785457163427,0.7686001458761952,0.3676842664065497,0.9438667297370501,0.8157894736842105,0.8827116212338594,0.8536585365853658,0.8822333730559709,0.9157449223871933,93,70,9,12,87.046783625731,9.098266964038494,0.10267066955566406,0.012520790100097656,0.00049591064453125
12,K-Nearest Neighbor Classifier,Test Set,0.8804347826086957,0.8773584905660378,0.9117647058823529,0.8942307692307693,0.9508010521281683,0.7568476693897165,0.7575883776072442,0.25225241299735357,0.9443038835531985,0.808695652173913,0.8766140602582496,0.8414634146341463,0.8759090379455294,0.9017272220152364,93,69,9,13,84.32748538011697,9.520855776109796,0.001443624496459961,0.03608536720275879,0.018442630767822266
13,Multi-layer Perceptron classifier,Test Set,0.8804347826086957,0.8921568627450981,0.8921568627450981,0.8921568627450981,0.9366331898613104,0.7580105212816834,0.7580105212816834,0.32275149486646126,0.9497662653213509,0.8053097345132744,0.8790052606408417,0.8658536585365854,0.8789068685568258,0.9082796027977158,91,71,11,11,84.85380116959064,7.1020737432913625,0.8868680000305176,0.0020627975463867188,0.00033926963806152344
14,Logistic Regression Classifier,Test Set,0.875,0.883495145631068,0.8921568627450981,0.8878048780487805,0.9282639885222381,0.7467081637538904,0.7467534479979184,0.35296218890844244,0.9432915079922495,0.7982456140350878,0.872907699665232,0.8536585365853658,0.8726954347626504,0.8945581551140012,91,70,11,12,85.38011695906434,8.807918377699497,0.008022308349609375,0.0007796287536621094,0.0002720355987548828
15,Gaussian Naive Bayes Classifier,Test Set,0.8641304347826086,0.8737864077669902,0.8823529411764706,0.8780487804878049,0.9314921090387374,0.7246827866890113,0.7247267352002882,0.49342279725548055,0.9408852454593901,0.782608695652174,0.8619081779053084,0.8414634146341463,0.8616656653220175,0.8704555185268283,90,69,12,13,87.01754385964912,8.51595324050133,0.0010039806365966797,0.0005991458892822266,0.0001881122589111328
